session,response,WCPM,Accuracy,words
49841,774697,104.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful for of nuts the noises noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
49998,776208,108.0,1.000,"sam and jo went for a hike they took a path path they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the they children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50020,776443,88.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50026,776496,130.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50030,776544,121.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam near the heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50031,776562,104.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother their mother"
50061,776900,95.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming noise coming from the tree above their heads jo climbed up to see what the what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and and jo smiled knowing the squirrels were safe knowing the to with their mother"
50103,777291,126.6,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard sam heard a noise sam heard a noise coming from from the tree above their heads jo climbed up to see what what the noise was and found two baby squirrels the babies were alone were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50118,777458,152.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50140,777699,37.8,0.718,"sam knowing the squirrels were safe with their mother they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and be somewhere near the children watched and waited sure enough the mother soon returned a hike the noise was and found returned with a mouthful of nuts the noises soon returned with a a noise coming from the tree from the tree were alone began to eat sam"
50143,777727,89.1,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads above their heads heads jo climbed up to see what the noise noise was and found knowing the found was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50193,778276,162.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50212,778441,123.7,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50232,778642,152.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50645,782562,83.3,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the to eat sam and be were alone but their mother must be somewhere near the children watched and waited sure enough waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the as the baby squirrels began to eat sam and jo sam and jo smiled knowing the squirrels were safe with their mother"
50666,782748,74.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50687,782963,145.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
50918,784996,140.3,0.955,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo jo smiled knowing the squirrels were safe with were safe with their mother"
50941,785256,93.9,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
51042,786358,122.5,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their their heads above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
51192,787877,28.9,0.943,"sam and jo went for a hike they took a path and jo went for a hike jo went for a hike they took a path as the baby squirrels began to eat sam suddenly sam heard a noise coming from the tree a path but a mouthful were alone safe with their above above their heads above their heads above their with to see as the and jo as the climbed up to see squirrels were safe with see what the noise was"
51264,788614,64.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was noise was and found two baby squirrels the babies were alone but their mother must be must be somewhere near noise coming from the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing nuts the squirrels were safe with their mother"
51375,789795,24.3,0.719,"sam and jo went for a hike they took a path through jo went for soon sam heard a noise coming from the a path through the for a heard a a hike they took a path up to see what"
51727,793373,132.4,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
52113,797690,85.4,0.933,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure began to eat sam and jo a mouthful of nuts the noises stopped as the baby squirrels began to eat safe sam and jo smiled knowing knowing the squirrels were safe with their mother"
52117,797763,82.8,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
52324,800004,97.0,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the the babies were alone but their mother mother must be somewhere near the children watched and waited waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels knowing the squirrels were safe with their mother"
52490,801652,101.2,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched knowing waited sure enough the mother soon the mother the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
52743,804168,32.0,0.902,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the climbed climbed up to see what the noise was and found two was and was and found two baby squirrels the near the babies were alone but their mother must be somewhere near"
52746,804223,42.2,0.906,"sam and and jo went for a hike they they took a path through the woods suddenly sam heard a noise coming were the tree above their above their heads jo climbed up to see what the noise was and found and found two baby be as the baby squirrels they took a babies were alone were alone but their mother must be somewhere near the children watched and waited sure for a watched and waited sure enough the a hike they took a path"
52812,805147,43.2,0.923,"sam and jo went for a hike they took a path through the woods suddenly sam heard a sam heard a noise coming near the coming from the tree above their heads jo noise was and the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a mouthful"
52897,806001,60.6,1.000,"sam and jo went went for a hike they took a path through the woods suddenly sam heard a"
53212,808896,72.5,0.989,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must must be somewhere near the children watched and waited sure enough the alone but their soon returned with a mouthful of nuts the noises stopped as the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
53264,809365,123.9,0.921,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone to see what the noise were alone but their mother must be somewhere near the children watched and waited sure enough the of nuts the noises stopped as the baby squirrels began to eat sam and jo knowing the squirrels were safe with their mother"
53536,811923,108.7,1.000,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see what the noise was and found two baby squirrels the babies were alone but their mother must be somewhere near the children watched and waited sure enough the mother soon returned with a a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled mouthful knowing the squirrels were safe with their mother"
53710,813750,115.1,0.888,"sam and jo went for a hike they took a path through the woods suddenly sam heard a noise coming from the tree above their heads jo climbed up to see babies were alone but their mother must be somewhere near the children watched and alone and waited sure enough the mother soon returned with a mouthful of nuts the noises stopped as the baby squirrels began to eat sam and jo smiled knowing the squirrels were safe with their mother"
