session,response,WCPM,Accuracy,wc,nRefWords,words
50918,785000,133.6,1.000,86,86,"how do plants find homes i saw a flower growing growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
50941,785260,97.5,1.000,86,86,"how do plants find homes i saw a flower growing in the ground they a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
51042,786362,84.4,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey growing in a a journey some animals hide seeds in the ground seeds can stick to fur or to or to a person's socks the ground seeds can stick to an stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
51192,787881,36.5,0.944,17,86,"how do plants there seeds to the ground the wind find homes i i wondered how a flower growing in a sidewalk an animal's fur or to a can take seeds when the i wondered how wondered how the plant grow"
51264,788618,64.6,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground to the ground the wind or wind or birds carry seeds to new places new new new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or fur or to a person's socks when the seeds fall fall on the ground they wait for sun and water to grow"
51727,793377,125.4,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop in different ways some seeds just drop to the ground the the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
52113,797694,83.3,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on on the ground they wait for sun and water to grow water to sun and water to grow there seeds travel in when the seeds fall on the water can take seeds on a take seeds on a"
52324,800008,106.1,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
52490,801656,102.0,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or or birds carry seeds to new places nearby or far away the wind or or birds drop water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or fur or to a person's socks when the the seeds fall on the ground they wait for sun and water to grow"
52743,804172,34.8,1.000,52,86,"how do plants find homes i saw a fall flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry wind the wind or birds carry seeds to new places how nearby or far away water can take seeds on a journey"
52746,804227,42.2,0.898,53,86,"how do i saw a flower growing in a fall on the in a sidewalk i wondered how the plant got there seeds travel in different ways ground seeds can plant got seeds just drop to the ground the wind or birds carry birds carry seeds to new new new places new places nearby or far wind or water can take seeds on a journey some animals hide seeds in a flower ground the wind"
52812,805151,52.3,0.962,75,86,"how do plants find homes i saw a flower growing in a animals hide an animal's fur or to a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind the wind or birds carry seeds to new places nearby or far away water far away water can take seeds on a journey some animals hide seeds in the ground seeds can i saw a animal's fur or to a a person's socks when the seeds fall on the ground"
53212,808900,66.7,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow socks"
53264,809369,145.4,1.000,86,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in different ways some seeds just drop to the ground the wind or birds carry seeds to new places nearby or far away water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a person's socks when the seeds fall on the ground they wait for sun and water to grow to grow"
53536,811927,81.8,0.988,85,86,"how do plants find homes i saw a flower growing in a sidewalk i wondered how the plant got there seeds travel in in different ways some seeds just drop to the ground the wind fall or birds carry seeds to new places nearby or far i saw a flower growing in a water can take seeds on a journey some animals hide seeds in the ground seeds can stick to an animal's fur or to a or to a person's socks when the seeds fall on the ground they wait for sun and water to grow"
